,TwonHalfDecade,constituentid_x,counts
1278,1750,24254,82
3847,1975,603,81
1638,1800,10026,81
3494,1950,13179,81
4397,2000,441,80
2797,1925,125,80
3521,1950,17714,80
4082,1975,15254,79
2445,1900,165,79
2585,1900,1534,79
548,1600,7190,78
1467,1775,26158,77
1553,1800,292,76
2457,1900,211,75
4655,2000,34346,75
1747,1825,425,75
4688,2000,37724,74
4723,2000,46388,73
1178,1750,142,73
4557,2000,21959,72
3219,1950,9,72
4710,2000,40405,72
3101,1925,27063,72
645,1625,639,72
1310,1775,29,71
1652,1800,18165,71
3252,1950,164,71
4266,1975,36259,71
550,1600,10026,71
3033,1925,14825,70
3968,1975,2242,70
2948,1925,1312,70
4129,1975,23032,70
3072,1925,22433,69
3894,1975,1177,69
177,1500,631,69
1932,1850,441,68
4652,2000,33083,68
3989,1975,4475,68
2279,1875,14034,68
1309,1775,9,68
4650,2000,33053,67
3068,1925,21753,66
4431,2000,1674,66
4249,1975,35183,66
4253,1975,35419,65
234,1525,142,65
4259,1975,35674,64
2356,1875,31613,64
2956,1925,1513,63
3184,1925,42764,62
3054,1925,19205,62
1361,1775,454,61
1022,1700,2718,61
1465,1775,24254,61
3296,1950,437,60
527,1600,631,59
4055,1975,11115,59
2683,1900,26356,59
3154,1925,35183,59
1195,1750,358,59
266,1525,631,59
363,1550,1676,58
3258,1950,193,58
3936,1975,1600,58
1168,1750,9,58
4696,2000,38240,58
1568,1800,455,57
1456,1775,22725,57
2321,1875,26356,57
2784,1925,74,56
3668,1950,37984,56
2950,1925,1322,56
767,1650,441,56
2395,1875,52072,56
3985,1975,4126,56
2717,1900,31613,56
597,1625,35,56
1261,1750,15728,56
1563,1800,427,55
2449,1900,192,55
2257,1875,2311,55
3261,1950,219,55
3356,1950,1034,55
4295,1975,38754,55
348,1550,631,54
4186,1975,29738,53
1271,1750,21517,53
495,1600,62,53
4500,2000,11115,53
470,1575,23172,53
3119,1925,29738,53
2542,1900,668,53
2343,1875,30149,52
3194,1925,47587,52
2818,1925,219,52
2137,1875,192,52
2144,1875,229,52
3400,1950,1555,52
4629,2000,31200,51
2156,1875,292,51
4006,1975,6509,51
4231,1975,33083,51
4216,1975,31464,50
4035,1975,9743,50
3755,1975,118,50
415,1575,426,50
4033,1975,9720,50
3456,1950,6139,50
4721,2000,46256,50
1840,1825,23895,49
171,1500,465,49
4067,1975,12795,48
765,1650,426,48
4126,1975,22573,48
2502,1900,432,48
688,1625,18165,48
3664,1950,37190,47
2998,1925,6139,47
584,1600,35798,47
2972,1925,1624,47
3488,1950,12396,47
1749,1825,427,47
3953,1975,1674,47
2970,1925,1620,46
3893,1975,1152,46
4566,2000,22917,46
4167,1975,26709,46
3725,1950,51999,46
4730,2000,47445,46
4445,2000,2500,45
4090,1975,16616,45
4662,2000,35160,44
3899,1975,1244,44
2794,1925,109,44
155,1500,193,44
1756,1825,465,44
2234,1875,1293,44
3580,1950,26709,44
4814,2025,33083,43
3658,1950,35953,43
3168,1925,37005,43
4501,2000,11204,43
4058,1975,11316,43
4046,1975,10173,43
275,1525,1296,42
369,1550,9926,42
2903,1925,668,42
1600,1800,1005,42
4252,1975,35269,42
3628,1950,33049,42
4666,2000,35269,42
151,1500,142,41
2105,1875,9,41
605,1625,110,41
1031,1700,18165,41
938,1675,14440,41
2238,1875,1447,41
2251,1875,1637,41
1487,1775,36532,41
3483,1950,11741,40
3031,1925,14034,40
1210,1750,465,40
824,1650,11715,40
2116,1875,74,40
274,1525,1290,40
4131,1975,23036,40
3567,1950,24045,40
1944,1850,508,39
2937,1925,1186,39
3394,1950,1513,39
1883,1850,105,39
985,1700,216,39
594,1625,9,39
4127,1975,22917,38
1201,1750,425,38
2289,1875,18165,38
1455,1775,21517,38
461,1575,14440,38
3377,1950,1186,38
513,1600,426,38
3433,1950,1829,38
3630,1950,33083,37
3791,1975,298,37
2619,1900,9720,37
